q_Q1,q_Q2,q_Q3,q_Q4,q_Q5,q_Q6,q_Q7,q_Q8,q_Q9,q_Q10,q_Q11,q_Q12,q_Q13,q_Q14,q_Q15,q_Q16,q_Q17,q_Q18,q_Q19,q_Q20,m_score,m_gender,m_age,seconds_elapsed
4,3,2,1,5,2,2,2,3,4,1,4,2,2,3,2,2,3,4,0,67,1,32,136
5,5,4,2,4,5,1,4,4,2,2,3,2,2,1,4,1,5,5,5,68,1,36,205
2,2,5,3,1,2,2,4,5,4,1,4,1,4,2,4,4,2,4,1,51,1,25,171
2,4,5,4,2,5,3,3,0,4,2,2,1,3,4,4,4,4,1,2,53,1,34,493
2,2,2,1,5,2,2,5,1,3,1,3,5,1,3,2,2,3,4,4,77,1,35,161
4,4,3,3,4,3,1,2,3,3,2,4,3,3,2,2,2,4,4,2,66,2,29,108
4,5,4,1,3,2,2,4,2,2,1,5,4,2,4,2,2,4,3,4,78,2,27,224
4,3,2,5,2,2,2,2,4,2,2,3,1,4,5,4,1,3,4,2,57,1,27,139
3,4,2,4,4,2,1,2,4,3,2,2,4,3,4,2,2,4,5,3,68,1,22,172
5,3,2,1,2,3,3,2,4,2,1,3,4,2,3,2,2,3,5,2,68,1,20,128
2,3,4,3,5,4,4,2,5,5,2,2,2,3,5,4,2,4,4,1,52,1,22,184
